number,last_seen,days_since
07,2026-07-14,1
41,2026-07-14,1
78,2026-07-14,1
87,2026-07-14,1
00,2026-07-15,0
01,2026-07-15,0
02,2026-07-15,0
03,2026-07-15,0
05,2026-07-15,0
06,2026-07-15,0
08,2026-07-15,0
09,2026-07-15,0
10,2026-07-15,0
11,2026-07-15,0
12,2026-07-15,0
13,2026-07-15,0
14,2026-07-15,0
16,2026-07-15,0
17,2026-07-15,0
18,2026-07-15,0
19,2026-07-15,0
20,2026-07-15,0
22,2026-07-15,0
23,2026-07-15,0
24,2026-07-15,0
25,2026-07-15,0
26,2026-07-15,0
27,2026-07-15,0
30,2026-07-15,0
31,2026-07-15,0
32,2026-07-15,0
33,2026-07-15,0
34,2026-07-15,0
35,2026-07-15,0
36,2026-07-15,0
37,2026-07-15,0
38,2026-07-15,0
39,2026-07-15,0
40,2026-07-15,0
42,2026-07-15,0
43,2026-07-15,0
44,2026-07-15,0
45,2026-07-15,0
46,2026-07-15,0
47,2026-07-15,0
48,2026-07-15,0
49,2026-07-15,0
50,2026-07-15,0
52,2026-07-15,0
53,2026-07-15,0
54,2026-07-15,0
55,2026-07-15,0
56,2026-07-15,0
57,2026-07-15,0
58,2026-07-15,0
59,2026-07-15,0
60,2026-07-15,0
61,2026-07-15,0
62,2026-07-15,0
63,2026-07-15,0
64,2026-07-15,0
65,2026-07-15,0
66,2026-07-15,0
67,2026-07-15,0
68,2026-07-15,0
69,2026-07-15,0
70,2026-07-15,0
71,2026-07-15,0
72,2026-07-15,0
73,2026-07-15,0
74,2026-07-15,0
75,2026-07-15,0
76,2026-07-15,0
77,2026-07-15,0
79,2026-07-15,0
80,2026-07-15,0
81,2026-07-15,0
82,2026-07-15,0
83,2026-07-15,0
84,2026-07-15,0
85,2026-07-15,0
86,2026-07-15,0
88,2026-07-15,0
89,2026-07-15,0
90,2026-07-15,0
91,2026-07-15,0
92,2026-07-15,0
94,2026-07-15,0
95,2026-07-15,0
96,2026-07-15,0
97,2026-07-15,0
98,2026-07-15,0
99,2026-07-15,0
