number,count
34,216
17,202
64,191
52,182
62,181
33,176
50,174
77,174
83,174
95,170
99,170
46,168
32,166
40,161
88,161
94,161
39,159
18,158
19,158
63,157
61,156
90,156
11,155
20,155
70,154
27,151
35,151
81,151
13,149
48,148
26,147
05,146
24,145
38,145
93,145
42,143
72,143
10,142
49,142
22,141
53,139
69,139
06,138
29,138
54,137
68,137
02,136
84,135
43,134
86,134
00,133
04,133
21,132
51,131
75,131
67,130
09,129
60,128
37,127
44,127
87,127
47,126
80,125
82,124
92,124
96,124
97,124
56,123
89,123
12,122
36,122
31,121
08,118
57,117
66,115
73,111
14,109
03,108
15,107
41,107
98,105
76,104
74,103
65,102
23,97
79,97
71,94
28,92
85,92
07,91
30,91
78,89
01,81
16,81
91,80
59,78
55,77
45,70
58,70
25,67
