number,2026-07,2026-08,2026-09
00,19,80,40
01,25,34,22
02,36,67,33
03,20,53,36
04,12,83,39
05,79,39,28
06,46,61,36
07,8,41,45
08,32,46,42
09,40,67,27
10,43,59,40
11,34,70,57
12,30,54,44
13,52,48,52
14,18,56,41
15,9,68,33
16,16,31,36
17,55,111,39
18,25,103,32
19,61,58,40
20,17,94,47
21,13,66,55
22,9,72,63
23,17,61,21
24,35,69,47
25,17,43,7
26,39,61,49
27,28,67,56
28,21,30,44
29,35,59,48
30,32,31,30
31,17,47,61
32,34,82,64
33,38,107,36
34,35,115,73
35,38,87,33
36,21,64,43
37,50,23,60
38,35,78,41
39,49,30,84
40,33,74,59
41,21,49,37
42,44,74,28
43,20,64,52
44,21,53,60
45,23,27,27
46,65,47,66
47,35,53,38
48,23,55,78
49,38,68,38
50,59,73,45
51,19,78,40
52,44,77,63
53,63,27,51
54,39,89,11
55,12,42,29
56,29,52,49
57,32,29,61
58,30,19,21
59,15,40,28
60,38,59,34
61,53,88,19
62,39,74,68
63,63,47,47
64,40,86,74
65,60,25,19
66,41,40,38
67,42,48,49
68,50,59,33
69,31,88,21
70,47,48,59
71,27,26,45
72,39,47,64
73,10,68,35
74,48,26,32
75,56,38,43
76,13,62,33
77,40,62,78
78,29,31,34
79,19,35,51
80,29,68,30
81,45,86,20
82,47,51,30
83,53,82,46
84,34,60,43
85,43,16,39
86,38,58,45
87,23,62,44
88,35,73,54
89,46,42,37
90,51,66,43
91,14,52,15
92,50,49,37
93,18,49,82
94,45,73,46
95,39,92,39
96,19,46,65
97,31,58,35
98,31,42,34
99,21,72,82
