draw_date,number,rolling_count
2026-07-14,00,4.0
2026-07-14,01,3.0
2026-07-14,02,1.0
2026-07-14,03,2.0
2026-07-14,05,4.0
2026-07-14,06,2.0
2026-07-14,07,1.0
2026-07-14,08,1.0
2026-07-14,09,1.0
2026-07-14,10,2.0
2026-07-14,11,1.0
2026-07-14,12,1.0
2026-07-14,13,5.0
2026-07-14,14,1.0
2026-07-14,16,1.0
2026-07-14,17,3.0
2026-07-14,18,1.0
2026-07-14,19,5.0
2026-07-14,20,4.0
2026-07-14,22,1.0
2026-07-14,23,2.0
2026-07-14,24,2.0
2026-07-14,25,1.0
2026-07-14,26,3.0
2026-07-14,27,2.0
2026-07-14,30,1.0
2026-07-14,31,4.0
2026-07-14,32,2.0
2026-07-14,33,2.0
2026-07-14,34,3.0
2026-07-14,35,0.0
2026-07-14,36,2.0
2026-07-14,37,3.0
2026-07-14,38,0.0
2026-07-14,39,1.0
2026-07-14,40,4.0
2026-07-14,41,2.0
2026-07-14,42,1.0
2026-07-14,43,1.0
2026-07-14,44,0.0
2026-07-14,45,1.0
2026-07-14,46,2.0
2026-07-14,47,1.0
2026-07-14,48,1.0
2026-07-14,49,3.0
2026-07-14,50,4.0
2026-07-14,52,1.0
2026-07-14,53,2.0
2026-07-14,54,1.0
2026-07-14,55,1.0
2026-07-14,56,2.0
2026-07-14,57,2.0
2026-07-14,58,2.0
2026-07-14,59,1.0
2026-07-14,60,3.0
2026-07-14,61,3.0
2026-07-14,62,3.0
2026-07-14,63,2.0
2026-07-14,64,5.0
2026-07-14,65,2.0
2026-07-14,66,2.0
2026-07-14,67,3.0
2026-07-14,68,3.0
2026-07-14,69,2.0
2026-07-14,70,0.0
2026-07-14,71,2.0
2026-07-14,72,1.0
2026-07-14,73,4.0
2026-07-14,74,2.0
2026-07-14,75,4.0
2026-07-14,76,1.0
2026-07-14,77,1.0
2026-07-14,78,1.0
2026-07-14,79,2.0
2026-07-14,80,3.0
2026-07-14,81,2.0
2026-07-14,82,2.0
2026-07-14,83,2.0
2026-07-14,84,1.0
2026-07-14,85,2.0
2026-07-14,86,1.0
2026-07-14,87,2.0
2026-07-14,88,1.0
2026-07-14,89,4.0
2026-07-14,90,3.0
2026-07-14,91,2.0
2026-07-14,92,3.0
2026-07-14,94,3.0
2026-07-14,95,1.0
2026-07-14,96,1.0
2026-07-14,97,2.0
2026-07-14,98,1.0
2026-07-14,99,3.0
2026-07-15,00,7.0
2026-07-15,01,6.0
2026-07-15,02,2.0
2026-07-15,03,4.0
2026-07-15,05,9.0
2026-07-15,06,5.0
2026-07-15,07,1.0
2026-07-15,08,3.0
2026-07-15,09,2.0
2026-07-15,10,4.0
2026-07-15,11,3.0
2026-07-15,12,2.0
2026-07-15,13,10.0
2026-07-15,14,2.0
2026-07-15,16,2.0
2026-07-15,17,6.0
2026-07-15,18,3.0
2026-07-15,19,11.0
2026-07-15,20,6.0
2026-07-15,22,2.0
2026-07-15,23,4.0
2026-07-15,24,4.0
2026-07-15,25,2.0
2026-07-15,26,5.0
2026-07-15,27,3.0
2026-07-15,30,2.0
2026-07-15,31,8.0
2026-07-15,32,4.0
2026-07-15,33,5.0
2026-07-15,34,6.0
2026-07-15,35,1.0
2026-07-15,36,4.0
2026-07-15,37,5.0
2026-07-15,38,1.0
2026-07-15,39,2.0
2026-07-15,40,8.0
2026-07-15,41,2.0
2026-07-15,42,2.0
2026-07-15,43,2.0
2026-07-15,44,1.0
2026-07-15,45,2.0
2026-07-15,46,4.0
2026-07-15,47,3.0
2026-07-15,48,2.0
2026-07-15,49,6.0
2026-07-15,50,8.0
2026-07-15,52,2.0
2026-07-15,53,5.0
2026-07-15,54,2.0
2026-07-15,55,2.0
2026-07-15,56,4.0
2026-07-15,57,5.0
2026-07-15,58,4.0
2026-07-15,59,2.0
2026-07-15,60,6.0
2026-07-15,61,6.0
2026-07-15,62,6.0
2026-07-15,63,3.0
2026-07-15,64,10.0
2026-07-15,65,4.0
2026-07-15,66,4.0
2026-07-15,67,5.0
2026-07-15,68,6.0
2026-07-15,69,4.0
2026-07-15,70,1.0
2026-07-15,71,3.0
2026-07-15,72,4.0
2026-07-15,73,7.0
2026-07-15,74,4.0
2026-07-15,75,8.0
2026-07-15,76,2.0
2026-07-15,77,2.0
2026-07-15,78,1.0
2026-07-15,79,3.0
2026-07-15,80,5.0
2026-07-15,81,3.0
2026-07-15,82,4.0
2026-07-15,83,5.0
2026-07-15,84,2.0
2026-07-15,85,5.0
2026-07-15,86,3.0
2026-07-15,87,2.0
2026-07-15,88,2.0
2026-07-15,89,7.0
2026-07-15,90,5.0
2026-07-15,91,4.0
2026-07-15,92,8.0
2026-07-15,94,6.0
2026-07-15,95,3.0
2026-07-15,96,2.0
2026-07-15,97,4.0
2026-07-15,98,2.0
2026-07-15,99,5.0
